time,.data
2020/04/03/19:47:36.194684,"(38.25225830078125, -18.87969970703125, 17.10662841796875)"
2020/04/03/19:47:36.293857,"(38.5223388671875, -19.40155029296875, 17.4102783203125)"
2020/04/03/19:47:36.396160,"(37.96539306640625, -18.87664794921875, 17.12188720703125)"
2020/04/03/19:47:36.499958,"(37.67852783203125, -18.87359619140625, 17.1356201171875)"
2020/04/03/19:47:36.597032,"(37.36724853515625, -18.695068359375, 17.46978759765625)"
2020/04/03/19:47:36.699577,"(39.11895751953125, -19.57244873046875, 17.0623779296875)"
2020/04/03/19:47:36.798099,"(37.4755859375, -18.51043701171875, 15.87677001953125)"
2020/04/03/19:47:36.898959,"(37.96844482421875, -19.21234130859375, 17.12188720703125)"
2020/04/03/19:47:36.999041,"(39.22576904296875, -19.38629150390625, 15.47088623046875)"
2020/04/03/19:47:37.099549,"(38.0767822265625, -19.02618408203125, 15.52886962890625)"
2020/04/03/19:47:37.204610,"(38.00811767578125, -18.8690185546875, 16.48406982421875)"
2020/04/03/19:47:37.304795,"(37.7410888671875, -18.68438720703125, 16.180419921875)"
2020/04/03/19:47:37.402074,"(37.99285888671875, -19.38629150390625, 16.80145263671875)"
2020/04/03/19:47:37.502894,"(38.05694580078125, -19.1986083984375, 15.84625244140625)"
2020/04/03/19:47:37.595749,"(37.98828125, -19.04144287109375, 16.80145263671875)"
2020/04/03/19:47:37.696623,"(38.54217529296875, -19.21844482421875, 17.0928955078125)"
2020/04/03/19:47:37.797243,"(37.6861572265625, -19.55413818359375, 17.13409423828125)"
2020/04/03/19:47:37.895299,"(38.2781982421875, -19.38934326171875, 16.7877197265625)"
